Company,NAICS_Final,Has_Reviews,Data_Confidence,Review_Count,Employees,Business_Status,Latitude,Longitude,Street_Address,Business_Website,Legal_Status,Year_Established,Operating_Hours,Key_Features_Notes,Last_Review_Date,Match_Reasoning
Silver Fern,722515,Yes,High,5,,Active,,,"114 E Hennepin Ave, Minneapolis, MN 55414, USA",,,,,"A coffee shop offering a variety of coffee flights and a warm, welcoming atmosphere.",2026-01-10,"The reviews clearly describe Silver Fern as a coffee shop, highlighting its coffee offerings and ambiance, which aligns with the NAICS code for coffee shops."
Momo cafe,722515,Yes,High,5,,Active,,,"3035 Central Ave NE, Minneapolis, MN 55418, USA",,,,,"Momo cafe is a vibrant cafe with a focus on cultural representation, offering a variety of drinks and food, including unique lattes.",2025-11-11,"The reviews describe Momo cafe as a coffee shop with a diverse menu and a cafe atmosphere, aligning with the target category of a coffee shop."
Mojo Coffee Gallery,722515,Yes,High,5,,Active,,,"2205 California St NE, Minneapolis, MN 55418, USA",,,,,Cozy café atmosphere with a focus on specialty coffee drinks and art displays.,2025-12-30,"The reviews clearly describe a coffee shop with a focus on specialty drinks and a welcoming atmosphere, aligning with the target NAICS code for coffee shops."
Sainaa Cafe,722515,Yes,High,5,,Active,,,"317 W Lake St, Minneapolis, MN 55408, USA",,,,,"A cheerful cafe offering a variety of drinks, including specialty lattes, with a focus on customer service.",2025-11-11,"The reviews describe a cafe environment with a focus on coffee and customer service, aligning with the characteristics of a coffee shop."
Spyhouse Coffee Roasters | Downtown / Emery,722515,Yes,High,5,,Active,,,"215 S 4th St, Minneapolis, MN 55401, USA",,,,,"Specialty coffee shop located in a hotel lobby, offering a variety of espresso drinks and seasonal lattes.",2026-01-07,"The reviews confirm that Spyhouse Coffee Roasters operates as a coffee shop, providing specialty coffee and espresso drinks, which aligns with the target NAICS code 722515."
Sovereign Grounds,722515,Yes,High,5,,Active,,,"813 E 48th St, Minneapolis, MN 55417, USA",,,,,A welcoming coffee shop that is kid-friendly and offers a variety of coffee options.,2026-01-12,"The reviews confirm that Sovereign Grounds is a coffee shop, which aligns with the target NAICS code 722515."
FRGMNT Coffee - Mill District,722515,Yes,High,5,,Active,,,"1011 Washington Ave S, Minneapolis, MN 55415, USA",,,,,"FRGMNT Coffee - Mill District offers a variety of coffee drinks, including lattes, and has bakery items and light snacks.",2026-01-05,"The reviews describe a coffee shop experience with various coffee drinks and light food options, aligning with the target category of a coffee shop."
The Briar,722515,Yes,High,5,,Active,,,"1231 Washington St NE, Minneapolis, MN 55413, USA",,,,,"Neighborhood bistro offering coffee, breakfast, and lunch in a clean environment with a progressive vibe.",2025-11-24,"The reviews describe a coffee shop and bistro atmosphere, indicating that The Briar serves coffee and food, aligning with the NAICS code for coffee shops."
Qahwah House Coffee - Minneapolis,722515,Yes,High,5,,Active,,,"1851 Central Ave NE, Minneapolis, MN 55418, USA",,,,,"Offers a variety of coffees, teas, and pastries, including special Yemeni coffee and unique chai drinks.",2025-12-20,"The reviews describe a coffee shop with a variety of coffee and tea offerings, confirming it fits the target category of a coffee shop."
Sip Society Coffee,722515,Yes,High,5,,Active,,,"2839 Emerson Ave S, Minneapolis, MN 55408, USA",,,,,"A welcoming coffee shop with a variety of specialty drinks and comfortable seating, ideal for working or socializing.",2026-01-17,"The reviews consistently describe Sip Society Coffee as a coffee shop with a focus on specialty drinks and a comfortable atmosphere, aligning with the target NAICS code for coffee shops."
Vitality Roasting,722515,Yes,High,5,,Active,,,"601 S Marquette Ave Ste 220, Minneapolis, MN 55402, USA",,,,,Coffee shop located in the skyways with friendly staff and a small seating area.,2025-10-16,"The reviews confirm that Vitality Roasting operates as a coffee shop, with descriptions of coffee offerings and a seating area, aligning with the target NAICS code."
Up Coffee,722515,Yes,High,5,,Active,,,"1901 Traffic St NE, Minneapolis, MN 55413, USA",,,,,A coffee shop and roaster offering a variety of coffee and treats in an industrial area.,2026-01-05,"The reviews describe Up Coffee as a coffee shop with a focus on coffee and pastries, confirming its classification under the coffee shop category."
Uncommon Grounds Coffeehouse,722515,Yes,High,5,,Active,,,"2809 Hennepin Ave, Minneapolis, MN 55408, USA",,,,,"A coffeehouse with a rustic and classic ambience, known for its exceptional scones and chai, providing a serene environment.",2025-12-10,"The reviews describe a coffeehouse with a focus on beverages and a pleasant atmosphere, aligning with the characteristics of a coffee shop."
SK Coffee: Downtown Minneapolis,722515,Yes,High,5,,Active,,,"Skyway Level, 50 South 6th St Unit 290, Minneapolis, MN 55402, USA",,,,,Cute coffee place with specialty roasts and free wifi.,2025-12-03,"The reviews describe a coffee shop with specialty roasts and positive customer experiences, confirming it fits the coffee shop category."
The Coffee Shop NE,722515,Yes,High,5,,Active,,,"2852A Johnson St NE, Minneapolis, MN 55418, USA",,,,,"Popular coffee shop with friendly staff, a nice atmosphere, and ample seating for customers.",2025-08-21,"The reviews consistently describe the establishment as a coffee shop, confirming its classification under NAICS 722515."
Gray Fox Coffee,722515,Yes,High,5,,Active,,,"700 Nicollet Mall, Minneapolis, MN 55402, USA",,,,,"Cozy coffee shop with a warm and inviting atmosphere, friendly staff, and a variety of coffee options.",2025-12-16,"The reviews describe a coffee shop environment with positive mentions of coffee and service, confirming it fits the target category."
Mosaic Coffee Co.,722515,Yes,High,5,,Active,,,"3040 Hennepin Ave, Minneapolis, MN 55408, USA",,,,,"A coffee shop known for its delicious coffee, chai, and matcha, with a warm atmosphere and friendly baristas.",2026-01-03,"The reviews clearly describe Mosaic Coffee Co. as a coffee shop, with multiple mentions of coffee and related beverages, confirming its classification under NAICS 722515."
Hola Coffee,722515,Yes,High,5,,Active,,,"326 Central Ave SE, Minneapolis, MN 55414, USA",,,,,Popular coffee shop known for high-quality lattes and a cozy atmosphere.,2026-01-10,"The reviews consistently describe a coffee shop experience, highlighting lattes and food items typical of a coffee shop, which aligns with NAICS 722515."
The Clapping Monkey House of Coffee,722515,Yes,High,5,,Active,,,"7276 Commerce Cir E, Fridley, MN 55432, USA",,,,,"A unique coffee shop offering a variety of drinks and food, with a welcoming atmosphere.",2025-12-31,"The reviews confirm that this establishment is a coffee shop, describing it as a cafe with coffee and food offerings, which aligns with the target NAICS code 722515."
Harmony,722515,Yes,High,5,,Active,,,"501 1st Ave NE Suite 2, Minneapolis, MN 55413, USA",,,,,"A popular coffee shop known for its extensive pour-over menu and minimalist decor, located in a garden-level setting.",2026-01-04,"The reviews clearly describe Harmony as a coffee shop, confirming its classification under NAICS 722515."
Loons Coffee,722515,Yes,High,5,,Active,,,"4648 E Lake St, Minneapolis, MN 55406, USA",,,,,"A beautiful space with a variety of seating options, including a conference table area and patio. Offers dark and light roast coffee and vegan pastries.",2025-09-20,"The reviews describe a coffee shop with various coffee options and a welcoming atmosphere, confirming that it fits the target category of a coffee shop."
Curioso Coffee Bar: Northeast,722515,Yes,High,5,,Active,,,"1712 Marshall St NE Suite 100, Minneapolis, MN 55413, USA",,,,,"Cozy space with strong WiFi, great service, delicious coffee, and areas for work and leisure.",2025-09-20,"The reviews describe a coffee shop environment with a focus on coffee, workspace, and social interaction, aligning with the target category of a coffee shop."
Crema Coffee + Cream,722515,Yes,High,5,,Active,,,"5013 S 34th Ave, Minneapolis, MN 55417, USA",,,,,"Crema Coffee + Cream is a coffee shop offering a variety of drinks including gelatos and specialty coffees, with a focus on quality and customer experience.",2025-10-24,"The reviews consistently describe the establishment as a coffee shop with a focus on high-quality drinks, which aligns with the target NAICS code for coffee shops (722515)."
Cosmic Coffee,722515,Yes,High,5,,Active,,,"3301 Central Ave NE, Minneapolis, MN 55418, USA",,,,,Coffee shop offering a variety of coffee drinks and a chill atmosphere with local artisan goods.,2025-10-20,"The reviews describe a coffee shop with a focus on coffee drinks and a pleasant atmosphere, aligning with the target category of a coffee shop."
