Company,Calculated_NAICS,Target_NAICS,Is_Target_Match,Confidence,Match_Reasoning,Business_Status,Review_Count,Has_Reviews,Latitude,Longitude,Street_Address,City,State,Zip_Code,Operating_Hours,Hard_Attributes,Price_Level,Business_Website,Employees_Estimated,Year_Established,Last_Review_Date
Momo cafe,722515,722515,TRUE,High,"Momo cafe opens early (7 AM) and serves breakfast, aligning with the characteristics of a coffee shop. The reviews highlight a positive morning vibe and a focus on coffee and food, confirming its classification as a coffee shop.",Active,5,Yes,45.0233102,-93.2470638,"3035 Central Ave NE, Minneapolis, MN 55418, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,Breakfast,N/A,,,,2025/11/11
Silver Fern,722515,722515,TRUE,High,"Silver Fern operates primarily as a coffee shop, opening early in the morning and serving breakfast, which aligns with the characteristics of NAICS 722515. The reviews emphasize its coffee offerings and welcoming vibe, further supporting its classification as a coffee shop.",Active,5,Yes,44.9872058,-93.25832,"114 E Hennepin Ave, Minneapolis, MN 55414, USA",Minneapolis,MN,55401,Monday: 7:30??AM??€?€?:00??PM; Tuesday: 7:30??AM??€?€?:00??PM; Wednesday: 7:30??AM??€?€?:00??PM; Thursday: 7:30??AM??€?€?:00??PM; Friday: 7:30??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,"Breakfast, Lunch, Dinner, Beer, Wine",2,http://silverfernmpls.com/,,,2026/1/10
Gray Fox Coffee & Wine,722515,722515,TRUE,High,"Gray Fox Coffee & Wine opens early, serves breakfast and lunch, and has a coffee shop vibe, which aligns with NAICS 722515 for coffee shops.",Active,5,Yes,44.9749814,-93.2714517,"801 S Marquette Ave, Minneapolis, MN 55402, USA",Minneapolis,MN,55401,Monday: 7:30??AM??€?€?:00??PM; Tuesday: 7:30??AM??€?€?:00??PM; Wednesday: 7:30??AM??€?€?:00??PM; Thursday: 7:30??AM??€?€?:00??PM; Friday: 7:30??AM??€?€?:00??PM; Saturday: Closed; Sunday: Closed,"Breakfast, Lunch, Beer, Wine",1,https://www.grayfoxcoffee.com/,,,2025/9/15
Caffetto Coffee House,722515,722515,TRUE,High,"Caffetto Coffee House operates from 7 AM to 12 AM, indicating a strong focus on coffee and breakfast offerings. The reviews highlight a warm, inviting atmosphere typical of coffee shops, further supporting the classification as a coffee shop under NAICS 722515.",Active,5,Yes,44.9610637,-93.2885417,"708 W 22nd St, Minneapolis, MN 55405, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?2:00??AM; Tuesday: 7:00??AM??€?€?2:00??AM; Wednesday: 7:00??AM??€?€?2:00??AM; Thursday: 7:00??AM??€?€?2:00??AM; Friday: 7:00??AM??€?€?2:00??AM; Saturday: 7:00??AM??€?€?2:00??AM; Sunday: 7:00??AM??€?€?2:00??AM,None,1,https://www.facebook.com/caffettocafe/,,,2026/1/1
Gray Fox Coffee,722515,722515,TRUE,High,"Gray Fox Coffee operates as a coffee shop, opening early in the morning and serving breakfast, which aligns with the NAICS code 722515 for coffee shops. The reviews indicate a positive morning vibe and a focus on coffee, further supporting this classification.",Active,5,Yes,44.9765031,-93.2728402,"700 Nicollet Mall, Minneapolis, MN 55402, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: Closed; Sunday: Closed,Breakfast,N/A,https://www.grayfoxcoffee.com/,,,2025/12/16
The Coffee Shop NE,722515,722515,TRUE,High,"The Coffee Shop NE operates early hours (6:30 AM) and serves breakfast and lunch, aligning with the characteristics of a coffee shop. The reviews emphasize a positive coffee shop vibe, confirming its focus on coffee and a morning atmosphere.",Active,5,Yes,45.0201463,-93.2374834,"2852A Johnson St NE, Minneapolis, MN 55418, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 6:30??AM??€?€?:00??PM; Sunday: 6:30??AM??€?€?:00??PM,"Breakfast, Lunch",1,http://thecoffeeshopne.com/,,,2025/8/21
SK Coffee: Downtown Minneapolis,722515,722515,TRUE,High,"SK Coffee operates as a coffee shop, opening early in the morning and serving breakfast, which aligns with the NAICS code 722515 for coffee shops. The reviews emphasize the coffee quality and the morning vibe, further supporting this classification.",Active,5,Yes,44.978262,-93.2713747,"Skyway Level, 50 South 6th St Unit 290, Minneapolis, MN 55402, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: Closed; Sunday: Closed,Breakfast,N/A,http://skcoffeeplease.com/,,,2025/12/3
FRGMNT Coffee - St. Anthony Main,722515,722515,TRUE,High,"FRGMNT Coffee - St. Anthony Main opens early (6:30 AM), serves breakfast and lunch, and has a cozy atmosphere, aligning with the characteristics of a coffee shop (NAICS 722515).",Active,5,Yes,44.986123,-93.258371,"43 SE Main St, Minneapolis, MN 55414, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,"Breakfast, Lunch",N/A,http://frgmntcoffee.com/,,,2026/1/10
Mojo Coffee Gallery,722515,722515,TRUE,High,"Mojo Coffee Gallery operates from 7 AM to 6 PM, serves breakfast and lunch, and has a cozy atmosphere with a focus on coffee, aligning with the characteristics of a coffee shop.",Active,5,Yes,45.0103339,-93.2684468,"2205 California St NE, Minneapolis, MN 55418, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,"Breakfast, Lunch",1,https://store122722715.shopsettings.com/,,,2025/12/30
Gray Fox Coffee,722515,722515,TRUE,High,"Gray Fox Coffee operates during morning hours and serves breakfast and lunch, aligning with the characteristics of a coffee shop. The positive reviews emphasize the quality of coffee and breakfast items, confirming the morning vibe over a late-night atmosphere.",Active,5,Yes,44.9763165,-93.2751106,"800 La Salle Ave, Minneapolis, MN 55402, USA",Minneapolis,MN,55401,Monday: 7:30??AM??€?€?:00??PM; Tuesday: 7:30??AM??€?€?:00??PM; Wednesday: 7:30??AM??€?€?:00??PM; Thursday: 7:30??AM??€?€?:00??PM; Friday: 7:30??AM??€?€?:00??PM; Saturday: Closed; Sunday: Closed,"Breakfast, Lunch",1,http://grayfoxcoffee.com/,,,2025/4/24
Socca Caf??,722515,722515,TRUE,High,"Socca Caf?? operates during morning hours, serves breakfast and lunch, and has a coffee shop vibe as indicated by the reviews. The focus on coffee and a pleasant atmosphere aligns with the characteristics of a coffee shop.",Active,5,Yes,44.981382,-93.2697143,"245 Hennepin Ave, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: Closed; Sunday: Closed,"Breakfast, Lunch, Wine",N/A,https://www.fourseasons.com/minneapolis/dining/restaurants/socca/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-mnn-fab-mid-seo-na&utm_content=na-na&utm_term=na,,,2025/8/23
Spyhouse Coffee Roasters | Northeast,722515,722515,TRUE,High,"Spyhouse Coffee Roasters | Northeast operates as a coffee shop, opening at 7 AM and serving breakfast items like pastries and egg strata, which aligns with the NAICS code for coffee shops (722515). The reviews emphasize the coffee offerings and a morning vibe, confirming its classification.",Active,5,Yes,44.9988885,-93.24633,"945 Broadway St NE, Minneapolis, MN 55413, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,None,2,https://www.spyhousecoffee.com/,,,2026/1/10
Dunn Brothers Coffee,722515,722515,TRUE,High,"Dunn Brothers Coffee operates primarily as a coffee shop, opening early in the morning and serving breakfast and lunch, which aligns with the NAICS code 722515 for coffee shops.",Active,5,Yes,44.9807918,-93.2631911,"201 3rd Ave S, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 6:00??AM??€?€?:00??PM; Tuesday: 6:00??AM??€?€?:00??PM; Wednesday: 6:00??AM??€?€?:00??PM; Thursday: 6:00??AM??€?€?:00??PM; Friday: 6:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,"Breakfast, Lunch",1,https://locations.dunnbrothers.com/mn/minneapolis/201-third-ave-s-6.html,,,2025/2/6
Cafe Jote - Authentic Ethiopian Coffee and Cuisine,722515,722515,TRUE,High,"Cafe Jote serves breakfast and coffee, aligns with the morning vibe, and operates during hours typical for coffee shops. The reviews emphasize the coffee and breakfast offerings, confirming its classification as a coffee shop.",Active,5,Yes,44.97016199999999,-93.2467034,"1808 Riverside Ave Suit 104, Minneapolis, MN 55454, USA",Minneapolis,MN,55401,Monday: 10:30??AM??€?€?:00??PM; Tuesday: 10:30??AM??€?€?:00??PM; Wednesday: 10:30??AM??€?€?:00??PM; Thursday: 10:30??AM??€?€?:00??PM; Friday: 10:30??AM??€?€?:00??PM; Saturday: 10:30??AM??€?€?:00??PM; Sunday: Closed,"Breakfast, Lunch",1,https://cafejote.com/,,,2025/3/14
Silverbird Coffee & More,722515,722515,TRUE,High,"Silverbird Coffee & More operates from 7 AM to 6 PM, indicating a focus on morning coffee and breakfast. Reviews highlight a cozy atmosphere and positive coffee experiences, reinforcing its identity as a coffee shop rather than a bar.",Active,5,Yes,44.9256786,-93.2776767,"4237 Nicollet Ave, Minneapolis, MN 55409, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,None,N/A,https://silverbirdcoffee.com/,,,2026/1/8
Dogwood Coffee - Northeast,722515,722515,TRUE,High,"Dogwood Coffee - Northeast operates primarily as a coffee shop, opening early in the morning and serving breakfast, which aligns with the NAICS code 722515 for coffee shops. The reviews emphasize the coffee quality and a lively morning vibe, further supporting this classification.",Active,5,Yes,44.999886,-93.2454333,"1209 Tyler St NE, Minneapolis, MN 55413, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,"Breakfast, Beer, Wine",2,http://www.dogwoodcoffee.com/,,,2025/12/1
Hola Coffee,722515,722515,TRUE,High,"Hola Coffee operates primarily as a coffee shop, opening early in the morning and serving breakfast items, which aligns with the characteristics of NAICS 722515. The positive reviews emphasize the coffee quality and breakfast offerings, confirming the morning vibe.",Active,5,Yes,44.9875555,-93.2539785,"326 Central Ave SE, Minneapolis, MN 55414, USA",Minneapolis,MN,55401,Monday: Closed; Tuesday: 7:30??AM??€?€?:00??PM; Wednesday: 7:30??AM??€?€?:00??PM; Thursday: 7:30??AM??€?€?:00??PM; Friday: 7:30??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,Breakfast,N/A,https://www.holacoffeempls.com/,,,2026/1/10
Uncommon Grounds Coffeehouse,722515,722515,TRUE,High,"Uncommon Grounds Coffeehouse operates primarily as a coffee shop, focusing on coffee and tea, with a serene morning vibe as indicated by the reviews. Although it opens later than the typical coffee shop hours, the ambiance and offerings align with the characteristics of a coffee shop rather than a bar.",Active,5,Yes,44.9515397,-93.2979682,"2809 Hennepin Ave, Minneapolis, MN 55408, USA",Minneapolis,MN,55401,Monday: 10:00??AM??€?€?:00??PM; Tuesday: 10:00??AM??€?€?:00??PM; Wednesday: 10:00??AM??€?€?:00??PM; Thursday: 10:00??AM??€?€?:00??PM; Friday: 10:00??AM??€?€?:00??PM; Saturday: 9:00??AM??€?€?:00??PM; Sunday: 9:00??AM??€?€?:00??PM,None,2,http://www.uncommongroundscoffeehouse.com/,,,2025/12/10
Harmony,722515,722515,TRUE,High,"Harmony operates primarily as a coffee shop, opening early in the morning and serving breakfast, which aligns with the NAICS code 722515 for coffee shops. The reviews emphasize its coffee offerings and morning vibe, further supporting this classification.",Active,5,Yes,44.990256,-93.2541158,"501 1st Ave NE Suite 2, Minneapolis, MN 55413, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?2:00??AM; Friday: 7:00??AM??€?€?2:00??AM; Saturday: 8:00??AM??€?€?2:00??AM; Sunday: 8:00??AM??€?€?:00??PM,"Breakfast, Lunch, Dinner, Beer, Wine",N/A,http://cafe-harmony.com/,,,2026/1/4
"Five Watt Coffee, Kingfield",722515,722515,TRUE,High,"Five Watt Coffee, Kingfield operates from 6:30 AM to 6:00 PM, indicating a focus on morning coffee and breakfast offerings. The reviews highlight a strong emphasis on coffee quality and a morning vibe, aligning with the characteristics of a coffee shop.",Active,5,Yes,44.9344786,-93.2777357,"3745 Nicollet Ave, Minneapolis, MN 55409, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 6:30??AM??€?€?:00??PM; Sunday: 6:30??AM??€?€?:00??PM,None,1,http://www.fivewattcoffee.com/,,,2025/10/6
"Five Watt Coffee, E. Hennepin",722515,722515,TRUE,High,"Five Watt Coffee opens early (6:30 AM) and serves breakfast, aligning with the characteristics of a coffee shop. The reviews emphasize the coffee quality and a welcoming atmosphere, further supporting its classification as a coffee shop rather than a bar.",Active,5,Yes,44.9917536,-93.2437101,"861 E Hennepin Ave UNIT 106, Minneapolis, MN 55414, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 6:30??AM??€?€?:00??PM; Sunday: 6:30??AM??€?€?:00??PM,"Breakfast, Lunch, Dinner",1,http://fivewattcoffee.com/e-hennepin,,,2025/10/14
Aster Cafe,722515,722515,TRUE,Low,"Aster Cafe primarily operates in the evening hours and serves dinner, beer, and wine, which aligns more with a bar or restaurant than a traditional coffee shop. The reviews indicate a focus on a dining experience rather than a morning coffee vibe.",Active,5,Yes,44.9845256,-93.2550522,"125 SE Main St, Minneapolis, MN 55414, USA",Minneapolis,MN,55401,Monday: Closed; Tuesday: 4:00??€?€?0:00??PM; Wednesday: 4:00??€?€?0:00??PM; Thursday: 4:00??€?€?0:00??PM; Friday: 4:00??€?€?1:00??PM; Saturday: 10:00??AM??€?€?1:00??PM; Sunday: 10:00??AM??€?€?0:00??PM,"Lunch, Dinner, Beer, Wine",2,http://astercafe.com/?y_source=1_NjE4OTYwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,2026/1/16
Walden Coffee,722515,722515,TRUE,High,"Walden Coffee operates primarily as a coffee shop, opening early in the morning and serving breakfast and lunch, which aligns with the NAICS code 722515 for coffee shops. The reviews indicate a cozy atmosphere and a focus on coffee, further supporting this classification.",Active,5,Yes,45.0130711,-93.2593264,"520 NE Lowry Ave, Minneapolis, MN 55418, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,"Breakfast, Lunch",1,http://walden.coffee/,,,2026/1/10
Gray Fox Coffee,722515,722515,TRUE,High,"Gray Fox Coffee operates during morning hours (7 AM - 2 PM) and serves breakfast, aligning with the characteristics of a coffee shop. The reviews indicate a pleasant morning vibe, further supporting the classification as a coffee shop.",Active,5,Yes,44.9741529,-93.2724017,"901 S Marquette Ave, Minneapolis, MN 55402, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: Closed; Sunday: Closed,Breakfast,1,http://www.grayfoxcoffee.com/,,,2025/10/25
Relish,722515,722515,TRUE,High,"Relish operates primarily during breakfast and lunch hours, offers a breakfast menu, and has a positive brunch review, indicating a coffee shop vibe rather than a bar.",Active,5,Yes,44.9907735,-93.2513912,"700 Central Ave NE Suite, Minneapolis, MN 55414, USA",Minneapolis,MN,55401,Monday: 8:00??AM??€?€?:00??PM; Tuesday: 8:00??AM??€?€?:00??PM; Wednesday: 8:00??AM??€?€?:00??PM; Thursday: 8:00??AM??€?€?:00??PM; Friday: 8:00??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,"Breakfast, Lunch, Dinner, Beer, Wine",1,http://www.relishmpls.com/,,,2025/11/15
The Clapping Monkey House of Coffee,722515,722515,TRUE,High,"The Clapping Monkey House of Coffee operates primarily as a coffee shop, opening early in the morning and serving breakfast, which aligns with the characteristics of NAICS 722515. The reviews indicate a strong coffee shop vibe, with a focus on coffee and light meals, further supporting this classification.",Active,5,Yes,45.1002684,-93.2658698,"7276 Commerce Cir E, Fridley, MN 55432, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 11:00??AM??€?€?:00??PM; Sunday: 11:00??AM??€?€?:00??PM,"Breakfast, Lunch, Dinner",N/A,http://www.theclappingmonkey.com/,,,2025/12/31
